"Time (EpMin)","Strand Name","Range (km)"
510,"Satellite/GEO2 To Satellite/GEO3",73030
515,"Satellite/GEO2 To Satellite/GEO3",73030
520,"Satellite/GEO2 To Satellite/GEO3",73030
525,"Satellite/GEO2 To Satellite/GEO3",73030
530,"Satellite/GEO2 To Satellite/GEO3",73030
535,"Satellite/GEO2 To Satellite/GEO3",73030
540,"Satellite/GEO2 To Satellite/GEO3",73030
545,"Satellite/GEO2 To Satellite/GEO3",73030
550,"Satellite/GEO2 To Satellite/GEO3",73030
555,"Satellite/GEO2 To Satellite/GEO3",73030
560,"Satellite/GEO2 To Satellite/GEO3",73030
565,"Satellite/GEO2 To Satellite/GEO3",73030
570,"Satellite/GEO2 To Satellite/GEO3",73030
575,"Satellite/GEO2 To Satellite/GEO3",73030
580,"Satellite/GEO2 To Satellite/GEO3",73030
585,"Satellite/GEO2 To Satellite/GEO3",73030
590,"Satellite/GEO2 To Satellite/GEO3",73030
595,"Satellite/GEO2 To Satellite/GEO3",73030
600,"Satellite/GEO2 To Satellite/GEO3",73030
605,"Satellite/GEO2 To Satellite/GEO3",73030
610,"Satellite/GEO2 To Satellite/GEO3",73030
615,"Satellite/GEO2 To Satellite/GEO3",73030
620,"Satellite/GEO2 To Satellite/GEO3",73030
625,"Satellite/GEO2 To Satellite/GEO3",73030
630,"Satellite/GEO2 To Satellite/GEO3",73030
635,"Satellite/GEO2 To Satellite/GEO3",73030
640,"Satellite/GEO2 To Satellite/GEO3",73030
645,"Satellite/GEO2 To Satellite/GEO3",73030
650,"Satellite/GEO2 To Satellite/GEO3",73030
655,"Satellite/GEO2 To Satellite/GEO3",73030
660,"Satellite/GEO2 To Satellite/GEO3",73030
665,"Satellite/GEO2 To Satellite/GEO3",73030
670,"Satellite/GEO2 To Satellite/GEO3",73030
675,"Satellite/GEO2 To Satellite/GEO3",73030
680,"Satellite/GEO2 To Satellite/GEO3",73030
685,"Satellite/GEO2 To Satellite/GEO3",73030
690,"Satellite/GEO2 To Satellite/GEO3",73030
695,"Satellite/GEO2 To Satellite/GEO3",73030
700,"Satellite/GEO2 To Satellite/GEO3",73030
705,"Satellite/GEO2 To Satellite/GEO3",73030
710,"Satellite/GEO2 To Satellite/GEO3",73030
715,"Satellite/GEO2 To Satellite/GEO3",73030
720,"Satellite/GEO2 To Satellite/GEO3",73030
725,"Satellite/GEO2 To Satellite/GEO3",73030
730,"Satellite/GEO2 To Satellite/GEO3",73030
735,"Satellite/GEO2 To Satellite/GEO3",73030
740,"Satellite/GEO2 To Satellite/GEO3",73030
745,"Satellite/GEO2 To Satellite/GEO3",73030
750,"Satellite/GEO2 To Satellite/GEO3",73030
755,"Satellite/GEO2 To Satellite/GEO3",73030
760,"Satellite/GEO2 To Satellite/GEO3",73030
765,"Satellite/GEO2 To Satellite/GEO3",73030
770,"Satellite/GEO2 To Satellite/GEO3",73030
775,"Satellite/GEO2 To Satellite/GEO3",73030
780,"Satellite/GEO2 To Satellite/GEO3",73030
785,"Satellite/GEO2 To Satellite/GEO3",73030
790,"Satellite/GEO2 To Satellite/GEO3",73030
795,"Satellite/GEO2 To Satellite/GEO3",73030
800,"Satellite/GEO2 To Satellite/GEO3",73030
805,"Satellite/GEO2 To Satellite/GEO3",73030
810,"Satellite/GEO2 To Satellite/GEO3",73030
815,"Satellite/GEO2 To Satellite/GEO3",73030
820,"Satellite/GEO2 To Satellite/GEO3",73030
825,"Satellite/GEO2 To Satellite/GEO3",73030
830,"Satellite/GEO2 To Satellite/GEO3",73030
835,"Satellite/GEO2 To Satellite/GEO3",73030
840,"Satellite/GEO2 To Satellite/GEO3",73030
845,"Satellite/GEO2 To Satellite/GEO3",73030
850,"Satellite/GEO2 To Satellite/GEO3",73030
855,"Satellite/GEO2 To Satellite/GEO3",73030
860,"Satellite/GEO2 To Satellite/GEO3",73030
865,"Satellite/GEO2 To Satellite/GEO3",73030
870,"Satellite/GEO2 To Satellite/GEO3",73030
875,"Satellite/GEO2 To Satellite/GEO3",73030
880,"Satellite/GEO2 To Satellite/GEO3",73030
885,"Satellite/GEO2 To Satellite/GEO3",73030
890,"Satellite/GEO2 To Satellite/GEO3",73030
895,"Satellite/GEO2 To Satellite/GEO3",73030
900,"Satellite/GEO2 To Satellite/GEO3",73030
905,"Satellite/GEO2 To Satellite/GEO3",73030
910,"Satellite/GEO2 To Satellite/GEO3",73030
915,"Satellite/GEO2 To Satellite/GEO3",73030
920,"Satellite/GEO2 To Satellite/GEO3",73030
925,"Satellite/GEO2 To Satellite/GEO3",73030
930,"Satellite/GEO2 To Satellite/GEO3",73030
935,"Satellite/GEO2 To Satellite/GEO3",73030
940,"Satellite/GEO2 To Satellite/GEO3",73030
945,"Satellite/GEO2 To Satellite/GEO3",73030
950,"Satellite/GEO2 To Satellite/GEO3",73030
955,"Satellite/GEO2 To Satellite/GEO3",73030
960,"Satellite/GEO2 To Satellite/GEO3",73030
965,"Satellite/GEO2 To Satellite/GEO3",73030
970,"Satellite/GEO2 To Satellite/GEO3",73030
975,"Satellite/GEO2 To Satellite/GEO3",73030
980,"Satellite/GEO2 To Satellite/GEO3",73030
985,"Satellite/GEO2 To Satellite/GEO3",73030
990,"Satellite/GEO2 To Satellite/GEO3",73030
995,"Satellite/GEO2 To Satellite/GEO3",73030
1000,"Satellite/GEO2 To Satellite/GEO3",73030
1005,"Satellite/GEO2 To Satellite/GEO3",73030
1010,"Satellite/GEO2 To Satellite/GEO3",73030
1015,"Satellite/GEO2 To Satellite/GEO3",73030
1020,"Satellite/GEO2 To Satellite/GEO3",73030
1025,"Satellite/GEO2 To Satellite/GEO3",73030
1030,"Satellite/GEO2 To Satellite/GEO3",73030
1035,"Satellite/GEO2 To Satellite/GEO3",73030
1040,"Satellite/GEO2 To Satellite/GEO3",73030
1045,"Satellite/GEO2 To Satellite/GEO3",73030
1050,"Satellite/GEO2 To Satellite/GEO3",73030
1055,"Satellite/GEO2 To Satellite/GEO3",73030
1060,"Satellite/GEO2 To Satellite/GEO3",73030
1065,"Satellite/GEO2 To Satellite/GEO3",73030
1070,"Satellite/GEO2 To Satellite/GEO3",73030
1075,"Satellite/GEO2 To Satellite/GEO3",73030
1080,"Satellite/GEO2 To Satellite/GEO3",73030
1085,"Satellite/GEO2 To Satellite/GEO3",73030
1090,"Satellite/GEO2 To Satellite/GEO3",73030
1095,"Satellite/GEO2 To Satellite/GEO3",73030
1100,"Satellite/GEO2 To Satellite/GEO3",73030
1105,"Satellite/GEO2 To Satellite/GEO3",73030
1110,"Satellite/GEO2 To Satellite/GEO3",73030
1115,"Satellite/GEO2 To Satellite/GEO3",73030
1120,"Satellite/GEO2 To Satellite/GEO3",73030
1125,"Satellite/GEO2 To Satellite/GEO3",73030
1130,"Satellite/GEO2 To Satellite/GEO3",73030
1135,"Satellite/GEO2 To Satellite/GEO3",73030
1140,"Satellite/GEO2 To Satellite/GEO3",73030
1145,"Satellite/GEO2 To Satellite/GEO3",73030
1150,"Satellite/GEO2 To Satellite/GEO3",73030
1155,"Satellite/GEO2 To Satellite/GEO3",73030
1160,"Satellite/GEO2 To Satellite/GEO3",73030
1165,"Satellite/GEO2 To Satellite/GEO3",73030
1170,"Satellite/GEO2 To Satellite/GEO3",73030
1175,"Satellite/GEO2 To Satellite/GEO3",73030
1180,"Satellite/GEO2 To Satellite/GEO3",73030
1185,"Satellite/GEO2 To Satellite/GEO3",73030
1190,"Satellite/GEO2 To Satellite/GEO3",73030
1195,"Satellite/GEO2 To Satellite/GEO3",73030
1200,"Satellite/GEO2 To Satellite/GEO3",73030
1205,"Satellite/GEO2 To Satellite/GEO3",73030
1210,"Satellite/GEO2 To Satellite/GEO3",73030
1215,"Satellite/GEO2 To Satellite/GEO3",73030
1220,"Satellite/GEO2 To Satellite/GEO3",73030
1225,"Satellite/GEO2 To Satellite/GEO3",73030
1230,"Satellite/GEO2 To Satellite/GEO3",73030
1235,"Satellite/GEO2 To Satellite/GEO3",73030
1240,"Satellite/GEO2 To Satellite/GEO3",73030
1245,"Satellite/GEO2 To Satellite/GEO3",73030
1250,"Satellite/GEO2 To Satellite/GEO3",73030
1255,"Satellite/GEO2 To Satellite/GEO3",73030
1260,"Satellite/GEO2 To Satellite/GEO3",73030
1265,"Satellite/GEO2 To Satellite/GEO3",73030
1270,"Satellite/GEO2 To Satellite/GEO3",73030
1275,"Satellite/GEO2 To Satellite/GEO3",73030
1280,"Satellite/GEO2 To Satellite/GEO3",73030
1285,"Satellite/GEO2 To Satellite/GEO3",73030
1290,"Satellite/GEO2 To Satellite/GEO3",73030
1295,"Satellite/GEO2 To Satellite/GEO3",73030
1300,"Satellite/GEO2 To Satellite/GEO3",73030
1305,"Satellite/GEO2 To Satellite/GEO3",73030
1310,"Satellite/GEO2 To Satellite/GEO3",73030
1315,"Satellite/GEO2 To Satellite/GEO3",73030
1320,"Satellite/GEO2 To Satellite/GEO3",73030
1325,"Satellite/GEO2 To Satellite/GEO3",73030
1330,"Satellite/GEO2 To Satellite/GEO3",73030
1335,"Satellite/GEO2 To Satellite/GEO3",73030
1340,"Satellite/GEO2 To Satellite/GEO3",73030
1345,"Satellite/GEO2 To Satellite/GEO3",73030
1350,"Satellite/GEO2 To Satellite/GEO3",73030
1355,"Satellite/GEO2 To Satellite/GEO3",73030
1360,"Satellite/GEO2 To Satellite/GEO3",73030
1365,"Satellite/GEO2 To Satellite/GEO3",73030
1370,"Satellite/GEO2 To Satellite/GEO3",73030
1375,"Satellite/GEO2 To Satellite/GEO3",73030
1380,"Satellite/GEO2 To Satellite/GEO3",73030
1385,"Satellite/GEO2 To Satellite/GEO3",73030
1390,"Satellite/GEO2 To Satellite/GEO3",73030
1395,"Satellite/GEO2 To Satellite/GEO3",73030
1400,"Satellite/GEO2 To Satellite/GEO3",73030
1405,"Satellite/GEO2 To Satellite/GEO3",73030
1410,"Satellite/GEO2 To Satellite/GEO3",73030
1415,"Satellite/GEO2 To Satellite/GEO3",73030
1420,"Satellite/GEO2 To Satellite/GEO3",73030
1425,"Satellite/GEO2 To Satellite/GEO3",73030
1430,"Satellite/GEO2 To Satellite/GEO3",73030
